period,after_negotiation,before_negotiation,during_negotiation,no_negotiation
after_negotiation,1.0,0.14506004068253572,0.6611946839428133,0.06750907793628702
before_negotiation,0.14506004068253572,1.0,0.6063264133260972,0.24020964753492405
during_negotiation,0.6611946839428133,0.6063264133260972,1.0,0.07945568747153503
no_negotiation,0.06750907793628702,0.24020964753492405,0.07945568747153503,1.0
