Support,Pattern,Decoded_Pattern
13,"[21, 39, 27]","[['?'], ['?'], ['?']]"
13,"[21, 22, 48]","[['?'], ['?'], ['?']]"
13,"[21, 22, 45]","[['?'], ['?'], ['?']]"
13,"[21, 22, 4, 22]","[['?'], ['?'], ['?'], ['?']]"
13,"[21, 22, 4, 39]","[['?'], ['?'], ['?'], ['?']]"
13,"[21, 22, 21, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[21, 22, 30]","[['?'], ['?'], ['?']]"
13,"[21, 22, 1]","[['?'], ['?'], ['?']]"
13,"[21, 24, 38]","[['?'], ['?'], ['?']]"
13,"[21, 24, 39]","[['?'], ['?'], ['?']]"
13,"[21, 24, 20]","[['?'], ['?'], ['?']]"
13,"[21, 44, 43]","[['?'], ['?'], ['?']]"
13,"[21, 23, 38]","[['?'], ['?'], ['?']]"
13,"[21, 23, 27]","[['?'], ['?'], ['?']]"
13,"[21, 0, 22]","[['?'], ['?'], ['?']]"
13,"[21, 0, 27]","[['?'], ['?'], ['?']]"
13,"[21, 13, 22, 22]","[['?'], ['?'], ['?'], ['?']]"
13,"[21, 13, 43]","[['?'], ['?'], ['?']]"
13,"[21, 13, 7]","[['?'], ['?'], ['?']]"
13,"[21, 13, 27]","[['?'], ['?'], ['?']]"
13,"[21, 21, 43]","[['?'], ['?'], ['?']]"
13,"[21, 21, 4, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[21, 7, 38]","[['?'], ['?'], ['?']]"
13,"[21, 31, 38]","[['?'], ['?'], ['?']]"
13,"[21, 18, 44]","[['?'], ['?'], ['?']]"
13,"[21, 18, 4, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[21, 18, 43, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[21, 18, 18, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[21, 49, 7]","[['?'], ['?'], ['?']]"
13,"[21, 49, 17]","[['?'], ['?'], ['?']]"
13,"[21, 17, 11]","[['?'], ['?'], ['?']]"
13,"[21, 6]","[['?'], ['?']]"
13,"[21, 1, 4]","[['?'], ['?'], ['?']]"
13,"[21, 1, 38]","[['?'], ['?'], ['?']]"
13,"[3, 18, 38]","[['?'], ['?'], ['?']]"
13,"[3, 39, 27]","[['?'], ['?'], ['?']]"
13,"[3, 39, 4]","[['?'], ['?'], ['?']]"
13,"[3, 39, 43]","[['?'], ['?'], ['?']]"
13,"[3, 24]","[['?'], ['?']]"
13,"[3, 47]","[['?'], ['?']]"
13,"[3, 22, 38]","[['?'], ['?'], ['?']]"
13,"[3, 22, 4]","[['?'], ['?'], ['?']]"
13,"[3, 23]","[['?'], ['?']]"
13,"[3, 13]","[['?'], ['?']]"
13,"[3, 45, 43]","[['?'], ['?'], ['?']]"
13,"[30, 43, 11]","[['?'], ['?'], ['?']]"
13,"[30, 43, 39]","[['?'], ['?'], ['?']]"
13,"[30, 22, 38]","[['?'], ['?'], ['?']]"
13,"[30, 22, 22]","[['?'], ['?'], ['?']]"
13,"[30, 22, 13]","[['?'], ['?'], ['?']]"
13,"[30, 38, 43]","[['?'], ['?'], ['?']]"
13,"[30, 38, 18]","[['?'], ['?'], ['?']]"
13,"[30, 28]","[['?'], ['?']]"
13,"[30, 9, 27]","[['?'], ['?'], ['?']]"
13,"[30, 13, 18]","[['?'], ['?'], ['?']]"
13,"[30, 27, 4]","[['?'], ['?'], ['?']]"
13,"[30, 11, 11]","[['?'], ['?'], ['?']]"
13,"[30, 11, 43]","[['?'], ['?'], ['?']]"
13,"[30, 18, 7]","[['?'], ['?'], ['?']]"
13,"[30, 18, 18, 43]","[['?'], ['?'], ['?'], ['?']]"
13,"[30, 18, 18, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[30, 18, 18, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[30, 18, 43, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[30, 18, 27, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[30, 18, 11, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[30, 18, 20]","[['?'], ['?'], ['?']]"
13,"[30, 39, 11]","[['?'], ['?'], ['?']]"
13,"[30, 39, 20]","[['?'], ['?'], ['?']]"
13,"[30, 39, 18]","[['?'], ['?'], ['?']]"
13,"[30, 19, 18]","[['?'], ['?'], ['?']]"
13,"[30, 25, 27]","[['?'], ['?'], ['?']]"
13,"[30, 24, 27]","[['?'], ['?'], ['?']]"
13,"[30, 20, 38]","[['?'], ['?'], ['?']]"
13,"[30, 30, 18]","[['?'], ['?'], ['?']]"
13,"[30, 30, 20]","[['?'], ['?'], ['?']]"
13,"[30, 30, 43]","[['?'], ['?'], ['?']]"
13,"[30, 30, 38]","[['?'], ['?'], ['?']]"
13,"[30, 1, 27]","[['?'], ['?'], ['?']]"
13,"[30, 46]","[['?'], ['?']]"
13,"[13, 27, 43]","[['?'], ['?'], ['?']]"
13,"[13, 27, 20]","[['?'], ['?'], ['?']]"
13,"[13, 11, 27]","[['?'], ['?'], ['?']]"
13,"[13, 38, 38]","[['?'], ['?'], ['?']]"
13,"[13, 20, 4]","[['?'], ['?'], ['?']]"
13,"[13, 4, 49]","[['?'], ['?'], ['?']]"
13,"[13, 4, 20]","[['?'], ['?'], ['?']]"
13,"[13, 4, 1]","[['?'], ['?'], ['?']]"
13,"[13, 18, 7]","[['?'], ['?'], ['?']]"
13,"[13, 7, 4]","[['?'], ['?'], ['?']]"
13,"[13, 7, 22]","[['?'], ['?'], ['?']]"
13,"[13, 7, 27]","[['?'], ['?'], ['?']]"
13,"[13, 43, 43, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[13, 39, 4]","[['?'], ['?'], ['?']]"
13,"[13, 22, 22, 22]","[['?'], ['?'], ['?'], ['?']]"
13,"[13, 22, 4]","[['?'], ['?'], ['?']]"
13,"[13, 22, 1]","[['?'], ['?'], ['?']]"
13,"[13, 31]","[['?'], ['?']]"
13,"[13, 25]","[['?'], ['?']]"
13,"[13, 49, 27]","[['?'], ['?'], ['?']]"
13,"[13, 23]","[['?'], ['?']]"
13,"[45, 43, 13]","[['?'], ['?'], ['?']]"
13,"[45, 8, 18]","[['?'], ['?'], ['?']]"
13,"[45, 4, 39]","[['?'], ['?'], ['?']]"
13,"[45, 4, 21]","[['?'], ['?'], ['?']]"
13,"[45, 4, 4, 43]","[['?'], ['?'], ['?'], ['?']]"
13,"[45, 18, 11]","[['?'], ['?'], ['?']]"
13,"[45, 18, 22]","[['?'], ['?'], ['?']]"
13,"[45, 44, 43]","[['?'], ['?'], ['?']]"
13,"[45, 39, 38]","[['?'], ['?'], ['?']]"
13,"[45, 39, 18]","[['?'], ['?'], ['?']]"
13,"[45, 27, 4]","[['?'], ['?'], ['?']]"
13,"[45, 21, 27]","[['?'], ['?'], ['?']]"
13,"[45, 21, 22]","[['?'], ['?'], ['?']]"
13,"[45, 21, 38]","[['?'], ['?'], ['?']]"
13,"[45, 23, 27]","[['?'], ['?'], ['?']]"
13,"[45, 0, 38]","[['?'], ['?'], ['?']]"
13,"[45, 0, 27]","[['?'], ['?'], ['?']]"
13,"[45, 22, 4]","[['?'], ['?'], ['?']]"
13,"[45, 31, 43]","[['?'], ['?'], ['?']]"
13,"[45, 9]","[['?'], ['?']]"
13,"[45, 45, 27]","[['?'], ['?'], ['?']]"
13,"[45, 45, 22]","[['?'], ['?'], ['?']]"
13,"[45, 20, 38]","[['?'], ['?'], ['?']]"
13,"[45, 19]","[['?'], ['?']]"
13,"[45, 26]","[['?'], ['?']]"
13,"[8, 4, 48]","[['?'], ['?'], ['?']]"
13,"[8, 18, 18, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[8, 18, 18, 44]","[['?'], ['?'], ['?'], ['?']]"
13,"[8, 18, 18, 7]","[['?'], ['?'], ['?'], ['?']]"
13,"[8, 18, 18, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[8, 18, 0, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[8, 18, 19]","[['?'], ['?'], ['?']]"
13,"[8, 44, 43]","[['?'], ['?'], ['?']]"
13,"[8, 39, 4]","[['?'], ['?'], ['?']]"
13,"[8, 39, 43]","[['?'], ['?'], ['?']]"
13,"[8, 39, 18]","[['?'], ['?'], ['?']]"
13,"[8, 39, 1]","[['?'], ['?'], ['?']]"
13,"[8, 38, 27, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[8, 38, 45]","[['?'], ['?'], ['?']]"
13,"[8, 38, 7]","[['?'], ['?'], ['?']]"
13,"[8, 38, 1]","[['?'], ['?'], ['?']]"
13,"[8, 38, 13]","[['?'], ['?'], ['?']]"
13,"[8, 27, 27, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[8, 27, 27, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[8, 27, 4, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[8, 27, 43, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[8, 27, 49]","[['?'], ['?'], ['?']]"
13,"[8, 27, 13]","[['?'], ['?'], ['?']]"
13,"[8, 27, 18, 7]","[['?'], ['?'], ['?'], ['?']]"
13,"[8, 27, 18, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[8, 27, 2]","[['?'], ['?'], ['?']]"
13,"[8, 27, 23]","[['?'], ['?'], ['?']]"
13,"[8, 27, 44]","[['?'], ['?'], ['?']]"
13,"[8, 27, 19]","[['?'], ['?'], ['?']]"
13,"[8, 21, 38]","[['?'], ['?'], ['?']]"
13,"[8, 21, 21]","[['?'], ['?'], ['?']]"
13,"[8, 43, 39]","[['?'], ['?'], ['?']]"
13,"[8, 43, 20]","[['?'], ['?'], ['?']]"
13,"[8, 17, 22]","[['?'], ['?'], ['?']]"
13,"[8, 7, 4]","[['?'], ['?'], ['?']]"
13,"[8, 8, 17]","[['?'], ['?'], ['?']]"
13,"[8, 8, 22]","[['?'], ['?'], ['?']]"
13,"[8, 8, 30]","[['?'], ['?'], ['?']]"
13,"[8, 36]","[['?'], ['?']]"
13,"[8, 49, 4]","[['?'], ['?'], ['?']]"
13,"[8, 49, 27, 7]","[['?'], ['?'], ['?'], ['?']]"
13,"[8, 0, 4]","[['?'], ['?'], ['?']]"
13,"[8, 0, 21]","[['?'], ['?'], ['?']]"
13,"[8, 0, 22]","[['?'], ['?'], ['?']]"
13,"[8, 28]","[['?'], ['?']]"
13,"[8, 45, 38]","[['?'], ['?'], ['?']]"
13,"[8, 45, 43]","[['?'], ['?'], ['?']]"
13,"[8, 1, 38]","[['?'], ['?'], ['?']]"
13,"[8, 22, 18]","[['?'], ['?'], ['?']]"
13,"[8, 26]","[['?'], ['?']]"
13,"[10, 44]","[['?'], ['?']]"
13,"[10, 43, 27]","[['?'], ['?'], ['?']]"
13,"[10, 22]","[['?'], ['?']]"
13,"[10, 0]","[['?'], ['?']]"
13,"[10, 7]","[['?'], ['?']]"
13,"[18, 44, 39]","[['?'], ['?'], ['?']]"
13,"[18, 44, 21]","[['?'], ['?'], ['?']]"
13,"[18, 44, 43, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 44, 22]","[['?'], ['?'], ['?']]"
13,"[18, 44, 8]","[['?'], ['?'], ['?']]"
13,"[18, 39, 38, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 39, 38, 11]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 39, 4, 43]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 39, 43, 43]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 39, 7]","[['?'], ['?'], ['?']]"
13,"[18, 39, 39, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 39, 24]","[['?'], ['?'], ['?']]"
13,"[18, 39, 18, 27, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 39, 2]","[['?'], ['?'], ['?']]"
13,"[18, 38, 27, 21]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 27, 22]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 27, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 21, 21]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 4, 4, 4]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 4, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 35]","[['?'], ['?'], ['?']]"
13,"[18, 38, 18, 27, 4]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 18, 4, 22]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 18, 4, 4]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 18, 48]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 18, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 18, 13]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 22, 22]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 19]","[['?'], ['?'], ['?']]"
13,"[18, 38, 8]","[['?'], ['?'], ['?']]"
13,"[18, 38, 1, 38]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 38, 2]","[['?'], ['?'], ['?']]"
13,"[18, 38, 0, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 27, 8]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 27, 48]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 27, 27, 1]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 27, 18, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 27, 18, 1]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 27, 13]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 27, 49, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 27, 21]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 4, 27, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 4, 27, 38]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 4, 38]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 35]","[['?'], ['?'], ['?']]"
13,"[18, 27, 11, 6]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 18, 43]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 18, 11, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 18, 30]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 18, 6]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 38, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 30, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 25]","[['?'], ['?'], ['?']]"
13,"[18, 27, 19, 7]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 19, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 2, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 0, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 0, 4, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 0, 38]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 27, 1, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 21, 4, 22]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 21, 35]","[['?'], ['?'], ['?']]"
13,"[18, 21, 17]","[['?'], ['?'], ['?']]"
13,"[18, 21, 18]","[['?'], ['?'], ['?']]"
13,"[18, 21, 49]","[['?'], ['?'], ['?']]"
13,"[18, 21, 1]","[['?'], ['?'], ['?']]"
13,"[18, 37, 4]","[['?'], ['?'], ['?']]"
13,"[18, 4, 35, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 7, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 18, 39, 4]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 18, 4, 18, 4]","[['?'], ['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 18, 4, 43]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 18, 4, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 18, 20]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 18, 18, 4, 18]","[['?'], ['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 18, 18, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 18, 0]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 18, 11]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 18, 38]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 39, 0]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 39, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 4, 4, 43]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 4, 4, 30]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 4, 4, 48]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 4, 4, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 4, 43, 43]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 4, 43, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 4, 27, 18]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 4, 18, 7]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 4, 18, 43]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 4, 0]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 4, 19]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 4, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 22, 4, 4]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 22, 13]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 22, 22]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 22, 7]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 22, 48]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 22, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 13, 7]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 21, 22]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 38, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 27, 30]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 27, 27, 18]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 19, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 4, 45]","[['?'], ['?'], ['?']]"
13,"[18, 4, 2]","[['?'], ['?'], ['?']]"
13,"[18, 4, 6]","[['?'], ['?'], ['?']]"
13,"[18, 4, 20, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 43, 11, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 43, 4, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 43, 7, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 43, 22, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 43, 9]","[['?'], ['?'], ['?']]"
13,"[18, 43, 43, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 43, 43, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 43, 27, 30]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 43, 27, 8]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 43, 30, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 43, 45]","[['?'], ['?'], ['?']]"
13,"[18, 43, 6]","[['?'], ['?'], ['?']]"
13,"[18, 43, 18, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 43, 21]","[['?'], ['?'], ['?']]"
13,"[18, 43, 2]","[['?'], ['?'], ['?']]"
13,"[18, 43, 0, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 11, 18]","[['?'], ['?'], ['?']]"
13,"[18, 11, 8]","[['?'], ['?'], ['?']]"
13,"[18, 17, 18, 39]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 17, 18, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 17, 38]","[['?'], ['?'], ['?']]"
13,"[18, 18, 43, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 43, 4, 4]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 43, 20, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 43, 8]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 43, 18, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 39, 4, 4]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 39, 22]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 39, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 4, 4, 8]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 4, 4, 43]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 4, 4, 48]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 4, 4, 22]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 4, 27, 38]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 4, 18, 18, 4]","[['?'], ['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 4, 0]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 4, 49]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 4, 48]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 4, 13]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 44, 7]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 44, 43]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 38, 43]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 11, 20]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 27, 11, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 27, 4, 4]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 27, 27, 38]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 27, 8]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 27, 0]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 27, 0, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 27, 38, 18]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 27, 38, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 21, 38]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 21, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 18, 27, 4]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 18, 4, 22]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 18, 4, 4, 18]","[['?'], ['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 18, 4, 4, 18, 4]","[['?'], ['?'], ['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 18, 4, 4, 39]","[['?'], ['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 18, 4, 7]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 18, 18, 18, 18]","[['?'], ['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 18, 18, 4, 4]","[['?'], ['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 18, 18, 4, 7]","[['?'], ['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 18, 18, 1]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 18, 7, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 18, 49, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 18, 6]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 22, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 22, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 19, 4, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 19, 21]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 19, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 35, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 7, 6]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 7, 7]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 7, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 7, 38]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 7, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 8, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 9]","[['?'], ['?'], ['?']]"
13,"[18, 18, 1, 38]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 1, 0]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 2, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 49, 30]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 18, 49, 27, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 48, 1]","[['?'], ['?'], ['?']]"
13,"[18, 22, 4, 49]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 4, 43]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 4, 7]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 4, 27, 4]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 4, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 22, 48]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 22, 38]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 0, 27]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 21, 38]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 43, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 43, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 38, 4]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 38, 39]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 38, 18]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 38, 13]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 27, 38, 27]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 27, 27, 38]","[['?'], ['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 27, 13]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 27, 7]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 27, 1]","[['?'], ['?'], ['?'], ['?']]"
13,"[18, 22, 27, 22]","[['?'], ['?'], ['?'], ['?']]"
