minsup,Pattern,Support
20,"[(7,), (12,), (8,)]",30
20,"[(7,), (12,), (7, 8), (8,)]",20
20,"[(7,), (12,), (7, 8)]",27
20,"[(7,), (12,), (7,), (12,)]",27
20,"[(7,), (12,), (7,), (7, 8)]",21
20,"[(7,), (12,), (7,)]",32
20,"[(7,), (12,)]",56
20,"[(7,), (8,), (12,)]",26
20,"[(7,), (8,), (8,)]",27
20,"[(7,), (8,), (7, 8)]",23
20,"[(7,), (8,), (7,)]",22
20,"[(7,), (8,)]",48
20,"[(7,), (7, 8, 9)]",20
20,"[(7,), (7, 8), (12,)]",27
20,"[(7,), (7, 8), (8,)]",26
20,"[(7,), (7, 8), (7,)]",20
20,"[(7,), (7, 8)]",43
20,"[(7,), (7,), (12,), (12,)]",21
20,"[(7,), (7,), (12,)]",33
20,"[(7,), (7,), (8,)]",30
20,"[(7,), (7,), (7, 8)]",29
20,"[(7,), (7,), (7,), (12,)]",20
20,"[(7,), (7,), (7,), (7,)]",20
20,"[(7,), (7,), (7,)]",26
20,"[(7,), (7,)]",52
20,"[(7,)]",102
20,"[(6,), (12,), (12,)]",20
20,"[(6,), (12,)]",26
20,"[(6,), (8,)]",23
20,"[(6,), (7,)]",21
20,"[(6,)]",33
10,"[(72,)]",11
10,"[(66,), (66,), (66,), (66,)]",11
10,"[(66,), (66,), (66,)]",20
10,"[(66,), (66,), (62,)]",14
10,"[(66,), (66,), (12,), (12,)]",10
10,"[(66,), (66,), (12,)]",14
10,"[(66,), (66,), (8,)]",10
10,"[(66,), (66,), (7, 8)]",10
10,"[(66,), (66,), (7,)]",10
10,"[(66,), (66,)]",41
10,"[(66,), (62,), (66,)]",12
10,"[(66,), (62,)]",23
10,"[(66,), (61,), (66,)]",11
10,"[(66,), (61,), (12,)]",10
10,"[(66,), (61,)]",21
10,"[(66,), (48,)]",19
10,"[(66,), (43,)]",10
10,"[(66,), (30,)]",18
10,"[(66,), (12,), (66,)]",11
10,"[(66,), (12,), (12,), (12,), (12,)]",12
10,"[(66,), (12,), (12,), (12,)]",17
10,"[(66,), (12,), (12,), (8,)]",14
10,"[(66,), (12,), (12,), (7,)]",10
10,"[(66,), (12,), (12,)]",20
10,"[(66,), (12,), (8,), (8,)]",10
10,"[(66,), (12,), (8,)]",16
10,"[(66,), (12,), (7, 8)]",11
10,"[(66,), (12,), (7,), (12,)]",10
10,"[(66,), (12,), (7,), (8,)]",10
10,"[(66,), (12,), (7,)]",14
10,"[(66,), (12,)]",36
10,"[(66,), (8,), (12,), (12,)]",12
10,"[(66,), (8,), (12,)]",12
10,"[(66,), (8,), (8,)]",12
10,"[(66,), (8,), (7, 8)]",10
10,"[(66,), (8,)]",27
10,"[(66,), (7, 8), (12,)]",10
10,"[(66,), (7, 8), (8,)]",10
10,"[(66,), (7, 8), (7, 8)]",11
10,"[(66,), (7, 8)]",15
10,"[(66,), (7,), (12,), (12,), (8,)]",10
10,"[(66,), (7,), (12,), (12,)]",12
10,"[(66,), (7,), (12,), (8,)]",11
10,"[(66,), (7,), (12,), (7,)]",10
10,"[(66,), (7,), (12,)]",14
10,"[(66,), (7,), (8,)]",13
10,"[(66,), (7,), (7, 8), (7, 8)]",10
10,"[(66,), (7,), (7, 8)]",11
10,"[(66,), (7,), (7,), (12,)]",11
10,"[(66,), (7,), (7,), (8,)]",11
10,"[(66,), (7,), (7,)]",14
10,"[(66,), (7,)]",19
10,"[(66,)]",105
10,"[(63,)]",16
10,"[(62, 64)]",11
10,"[(62, 63)]",10
10,"[(62,), (66,), (66,)]",11
10,"[(62,), (66,), (12,)]",11
10,"[(62,), (66,)]",22
10,"[(62,), (62,), (62,)]",10
10,"[(62,), (62,), (12,)]",10
10,"[(62,), (62,)]",23
10,"[(62,), (61,)]",14
10,"[(62,), (48,)]",11
10,"[(62,), (44,)]",10
10,"[(62,), (30,), (30,)]",10
10,"[(62,), (30,)]",18
10,"[(62,), (12,), (12,)]",11
10,"[(62,), (12,)]",23
10,"[(62,), (8,), (12,)]",10
10,"[(62,), (8,), (8,)]",13
10,"[(62,), (8,)]",22
10,"[(62,), (7, 8)]",10
10,"[(62,), (7,)]",12
10,"[(62,)]",88
10,"[(61, 62, 63)]",11
10,"[(61, 62), (12,)]",12
10,"[(61, 62), (8,)]",10
10,"[(61, 62)]",32
10,"[(61,), (66,), (66,)]",12
10,"[(61,), (66,)]",22
10,"[(61,), (62,)]",19
10,"[(61,), (61,), (66,)]",10
10,"[(61,), (61,), (61,)]",11
10,"[(61,), (61,), (7,)]",10
10,"[(61,), (61,)]",28
10,"[(61,), (48,)]",11
10,"[(61,), (30,)]",13
10,"[(61,), (25,)]",10
10,"[(61,), (12,), (61,)]",10
10,"[(61,), (12,), (12,), (12,)]",11
10,"[(61,), (12,), (12,), (7, 8)]",10
10,"[(61,), (12,), (12,)]",20
10,"[(61,), (12,), (7, 8)]",11
10,"[(61,), (12,), (7,)]",14
10,"[(61,), (12,)]",27
10,"[(61,), (8,), (8,)]",10
10,"[(61,), (8,)]",18
10,"[(61,), (7, 8), (12,)]",10
10,"[(61,), (7, 8)]",20
10,"[(61,), (7,), (12,), (12,)]",10
10,"[(61,), (7,), (12,), (7,)]",10
10,"[(61,), (7,), (12,)]",12
10,"[(61,), (7,), (8,)]",13
10,"[(61,), (7,), (7, 8)]",13
10,"[(61,), (7,), (7,), (12,)]",10
10,"[(61,), (7,), (7,), (8,)]",11
10,"[(61,), (7,), (7,), (7, 8)]",11
10,"[(61,), (7,), (7,), (7,), (7, 8)]",10
10,"[(61,), (7,), (7,), (7,)]",11
10,"[(61,), (7,), (7,)]",18
10,"[(61,), (7,)]",24
10,"[(61,)]",93
10,"[(48,), (66,)]",19
10,"[(48,), (62,)]",17
10,"[(48,), (48,), (48,)]",11
10,"[(48,), (48,), (30,)]",12
10,"[(48,), (48,)]",27
10,"[(48,), (43,)]",13
10,"[(48,), (30,), (30,)]",11
10,"[(48,), (30,)]",29
10,"[(48,), (26,)]",10
10,"[(48,), (12, 48)]",12
10,"[(48,), (12,)]",15
10,"[(48,), (8,)]",13
10,"[(48,)]",88
10,"[(45,)]",12
10,"[(44,)]",33
10,"[(43, 44)]",16
10,"[(43,), (62,)]",13
10,"[(43,), (61,)]",11
10,"[(43,), (48,)]",11
10,"[(43,), (43,)]",11
10,"[(43,), (30,)]",16
10,"[(43,), (12,)]",10
10,"[(43,)]",48
10,"[(30, 48)]",33
10,"[(30,), (66,)]",26
10,"[(30,), (62,)]",20
10,"[(30,), (61,)]",10
10,"[(30,), (48,), (48,)]",11
10,"[(30,), (48,), (30,)]",13
10,"[(30,), (48,)]",25
10,"[(30,), (44,)]",10
10,"[(30,), (43,)]",10
10,"[(30,), (30,), (66,)]",12
10,"[(30,), (30,), (62,)]",10
10,"[(30,), (30,), (48,)]",10
10,"[(30,), (30,), (30,), (30,)]",12
10,"[(30,), (30,), (30,), (26,)]",10
10,"[(30,), (30,), (30,)]",23
10,"[(30,), (30,), (26,)]",13
10,"[(30,), (30,), (12,)]",10
10,"[(30,), (30,), (8,)]",10
10,"[(30,), (30,)]",43
10,"[(30,), (26,), (30,), (30,)]",10
10,"[(30,), (26,), (30,)]",13
10,"[(30,), (26,), (26,)]",10
10,"[(30,), (26,)]",19
10,"[(30,), (25, 26)]",13
10,"[(30,), (25,), (30,)]",13
10,"[(30,), (25,), (26,)]",10
10,"[(30,), (25,)]",24
10,"[(30,), (12, 30, 48)]",10
10,"[(30,), (12,)]",21
10,"[(30,), (8,)]",19
10,"[(30,), (7, 8)]",10
10,"[(30,)]",112
10,"[(28,)]",10
10,"[(27,)]",13
10,"[(26, 44)]",19
10,"[(26, 27)]",14
10,"[(26,), (62,)]",15
10,"[(26,), (48,)]",11
10,"[(26,), (30,), (62,)]",10
10,"[(26,), (30,), (48,)]",10
10,"[(26,), (30,), (30,), (30,)]",11
10,"[(26,), (30,), (30,)]",18
10,"[(26,), (30,), (26,)]",11
10,"[(26,), (30,)]",21
10,"[(26,), (26,)]",16
10,"[(26,), (25,)]",13
10,"[(26,), (12,)]",13
10,"[(26,), (8,)]",13
10,"[(26,)]",45
10,"[(25, 27)]",11
10,"[(25, 26)]",20
10,"[(25,), (62,)]",11
10,"[(25,), (43,)]",11
10,"[(25,), (30,), (30,)]",11
10,"[(25,), (30,)]",23
10,"[(25,), (26,)]",12
10,"[(25,), (25,)]",17
10,"[(25,), (12,)]",12
10,"[(25,), (8,)]",10
10,"[(25,)]",57
10,"[(18,), (18,)]",13
10,"[(18,), (12,)]",11
10,"[(18,), (8,)]",11
10,"[(18,), (7,)]",11
10,"[(18,)]",24
10,"[(14,), (12,), (12,)]",12
10,"[(14,), (12,)]",12
10,"[(14,), (8,)]",14
10,"[(14,)]",21
10,"[(13, 14)]",14
10,"[(13,), (12,)]",13
10,"[(13,), (7,)]",10
10,"[(13,)]",20
10,"[(12, 48), (12, 48)]",16
10,"[(12, 48), (12,)]",13
10,"[(12, 48), (8,)]",12
10,"[(12, 48)]",37
10,"[(12, 30, 48)]",16
10,"[(12, 30), (30,)]",10
10,"[(12, 30)]",24
10,"[(12,), (66,), (66,)]",12
10,"[(12,), (66,), (62,)]",10
10,"[(12,), (66,), (12,), (12,), (12,), (12,)]",10
10,"[(12,), (66,), (12,), (12,), (12,)]",13
10,"[(12,), (66,), (12,), (12,), (8,)]",10
10,"[(12,), (66,), (12,), (12,)]",13
10,"[(12,), (66,), (12,), (8,)]",11
10,"[(12,), (66,), (12,)]",17
10,"[(12,), (66,), (8,)]",16
10,"[(12,), (66,), (7, 8)]",11
10,"[(12,), (66,), (7,)]",13
10,"[(12,), (66,)]",34
10,"[(12,), (62,)]",21
10,"[(12,), (61, 62)]",14
10,"[(12,), (61,), (12,)]",11
10,"[(12,), (61,), (8,)]",10
10,"[(12,), (61,), (7, 8)]",11
10,"[(12,), (61,), (7,)]",14
10,"[(12,), (61,)]",28
10,"[(12,), (30,)]",19
10,"[(12,), (18,), (18,)]",10
10,"[(12,), (18,), (7,)]",10
10,"[(12,), (18,)]",19
10,"[(12,), (14,)]",12
10,"[(12,), (13, 14)]",10
10,"[(12,), (13,), (12,)]",11
10,"[(12,), (13,)]",18
10,"[(12,), (12,), (66,), (12,)]",13
10,"[(12,), (12,), (66,), (8,)]",11
10,"[(12,), (12,), (66,)]",21
10,"[(12,), (12,), (62,)]",10
10,"[(12,), (12,), (61,), (12,)]",10
10,"[(12,), (12,), (61,)]",20
10,"[(12,), (12,), (18,)]",14
10,"[(12,), (12,), (13,)]",15
10,"[(12,), (12,), (12,), (66,), (12,)]",10
10,"[(12,), (12,), (12,), (66,)]",15
10,"[(12,), (12,), (12,), (61,)]",14
10,"[(12,), (12,), (12,), (18,)]",11
10,"[(12,), (12,), (12,), (12,), (12,), (12,), (12,)]",15
10,"[(12,), (12,), (12,), (12,), (12,), (12,), (8,)]",14
10,"[(12,), (12,), (12,), (12,), (12,), (12,), (7, 8), (8,)]",10
10,"[(12,), (12,), (12,), (12,), (12,), (12,), (7, 8)]",12
10,"[(12,), (12,), (12,), (12,), (12,), (12,), (7,), (12,)]",10
10,"[(12,), (12,), (12,), (12,), (12,), (12,), (7,)]",10
10,"[(12,), (12,), (12,), (12,), (12,), (12,)]",19
10,"[(12,), (12,), (12,), (12,), (12,), (8,), (12,)]",10
10,"[(12,), (12,), (12,), (12,), (12,), (8,), (8,)]",10
10,"[(12,), (12,), (12,), (12,), (12,), (8,)]",15
10,"[(12,), (12,), (12,), (12,), (12,), (7, 8), (12,)]",10
10,"[(12,), (12,), (12,), (12,), (12,), (7, 8), (8,)]",12
10,"[(12,), (12,), (12,), (12,), (12,), (7, 8)]",14
10,"[(12,), (12,), (12,), (12,), (12,), (7,), (12,)]",12
10,"[(12,), (12,), (12,), (12,), (12,), (7,), (8,)]",10
10,"[(12,), (12,), (12,), (12,), (12,), (7,), (7, 8)]",11
10,"[(12,), (12,), (12,), (12,), (12,), (7,)]",12
10,"[(12,), (12,), (12,), (12,), (12,)]",23
10,"[(12,), (12,), (12,), (12,), (8,), (12,)]",13
10,"[(12,), (12,), (12,), (12,), (8,), (8,)]",13
10,"[(12,), (12,), (12,), (12,), (8,), (7, 8)]",10
10,"[(12,), (12,), (12,), (12,), (8,)]",21
