minsup,Pattern,Support
20,36,"[(7, 8), (7,)]"
20,83,"[(7, 8)]"
20,22,"[(7,), (66,)]"
20,26,"[(7,), (61,)]"
20,29,"[(7,), (12,), (12,), (12,)]"
20,26,"[(7,), (12,), (12,), (8,)]"
20,22,"[(7,), (12,), (12,), (7, 8)]"
20,46,"[(7,), (12,), (12,)]"
20,30,"[(7,), (12,), (8,)]"
20,20,"[(7,), (12,), (7, 8), (8,)]"
20,27,"[(7,), (12,), (7, 8)]"
20,27,"[(7,), (12,), (7,), (12,)]"
20,21,"[(7,), (12,), (7,), (7, 8)]"
20,32,"[(7,), (12,), (7,)]"
20,56,"[(7,), (12,)]"
20,26,"[(7,), (8,), (12,)]"
20,27,"[(7,), (8,), (8,)]"
20,23,"[(7,), (8,), (7, 8)]"
20,22,"[(7,), (8,), (7,)]"
20,48,"[(7,), (8,)]"
20,20,"[(7,), (7, 8, 9)]"
20,27,"[(7,), (7, 8), (12,)]"
20,26,"[(7,), (7, 8), (8,)]"
20,20,"[(7,), (7, 8), (7,)]"
20,43,"[(7,), (7, 8)]"
20,21,"[(7,), (7,), (12,), (12,)]"
20,33,"[(7,), (7,), (12,)]"
20,30,"[(7,), (7,), (8,)]"
20,29,"[(7,), (7,), (7, 8)]"
20,20,"[(7,), (7,), (7,), (12,)]"
20,20,"[(7,), (7,), (7,), (7,)]"
20,26,"[(7,), (7,), (7,)]"
20,52,"[(7,), (7,)]"
20,102,"[(7,)]"
20,20,"[(6,), (12,), (12,)]"
20,26,"[(6,), (12,)]"
20,23,"[(6,), (8,)]"
20,21,"[(6,), (7,)]"
20,33,"[(6,)]"
10,11,"[(72,)]"
10,11,"[(66,), (66,), (66,), (66,)]"
10,20,"[(66,), (66,), (66,)]"
10,14,"[(66,), (66,), (62,)]"
10,10,"[(66,), (66,), (12,), (12,)]"
10,14,"[(66,), (66,), (12,)]"
10,10,"[(66,), (66,), (8,)]"
10,10,"[(66,), (66,), (7, 8)]"
10,10,"[(66,), (66,), (7,)]"
10,41,"[(66,), (66,)]"
10,12,"[(66,), (62,), (66,)]"
10,23,"[(66,), (62,)]"
10,11,"[(66,), (61,), (66,)]"
10,10,"[(66,), (61,), (12,)]"
10,21,"[(66,), (61,)]"
10,19,"[(66,), (48,)]"
10,10,"[(66,), (43,)]"
10,18,"[(66,), (30,)]"
10,11,"[(66,), (12,), (66,)]"
10,12,"[(66,), (12,), (12,), (12,), (12,)]"
10,17,"[(66,), (12,), (12,), (12,)]"
10,14,"[(66,), (12,), (12,), (8,)]"
10,10,"[(66,), (12,), (12,), (7,)]"
10,20,"[(66,), (12,), (12,)]"
10,10,"[(66,), (12,), (8,), (8,)]"
10,16,"[(66,), (12,), (8,)]"
10,11,"[(66,), (12,), (7, 8)]"
10,10,"[(66,), (12,), (7,), (12,)]"
10,10,"[(66,), (12,), (7,), (8,)]"
10,14,"[(66,), (12,), (7,)]"
10,36,"[(66,), (12,)]"
10,12,"[(66,), (8,), (12,), (12,)]"
10,12,"[(66,), (8,), (12,)]"
10,12,"[(66,), (8,), (8,)]"
10,10,"[(66,), (8,), (7, 8)]"
10,27,"[(66,), (8,)]"
10,10,"[(66,), (7, 8), (12,)]"
10,10,"[(66,), (7, 8), (8,)]"
10,11,"[(66,), (7, 8), (7, 8)]"
10,15,"[(66,), (7, 8)]"
10,10,"[(66,), (7,), (12,), (12,), (8,)]"
10,12,"[(66,), (7,), (12,), (12,)]"
10,11,"[(66,), (7,), (12,), (8,)]"
10,10,"[(66,), (7,), (12,), (7,)]"
10,14,"[(66,), (7,), (12,)]"
10,13,"[(66,), (7,), (8,)]"
10,10,"[(66,), (7,), (7, 8), (7, 8)]"
10,11,"[(66,), (7,), (7, 8)]"
10,11,"[(66,), (7,), (7,), (12,)]"
10,11,"[(66,), (7,), (7,), (8,)]"
10,14,"[(66,), (7,), (7,)]"
10,19,"[(66,), (7,)]"
10,105,"[(66,)]"
10,16,"[(63,)]"
10,11,"[(62, 64)]"
10,10,"[(62, 63)]"
10,11,"[(62,), (66,), (66,)]"
10,11,"[(62,), (66,), (12,)]"
10,22,"[(62,), (66,)]"
10,10,"[(62,), (62,), (62,)]"
10,10,"[(62,), (62,), (12,)]"
10,23,"[(62,), (62,)]"
10,14,"[(62,), (61,)]"
10,11,"[(62,), (48,)]"
10,10,"[(62,), (44,)]"
10,10,"[(62,), (30,), (30,)]"
10,18,"[(62,), (30,)]"
10,11,"[(62,), (12,), (12,)]"
10,23,"[(62,), (12,)]"
10,10,"[(62,), (8,), (12,)]"
10,13,"[(62,), (8,), (8,)]"
10,22,"[(62,), (8,)]"
10,10,"[(62,), (7, 8)]"
10,12,"[(62,), (7,)]"
